source,text,date,hashed_message_id,hashed_chat_id
human,Good night,96981,c000505ff4e0ce78ccf4ac423761f3dc768b7585f39c46e33afbd9dda5730ed9,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Good night!! 🌙,97001,59dd31531e24761c7efee96e337a9466b3bfe4d0856005c43b6ec4a330bd31b5,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,hi,137579,5e9ff41afbe8fe692ea655858226c0a65f36ceae605f453215040ec0cd09b0b0,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Hi there!! How are you today?,173841,93d05f85fd5fd6f7c572fc0358b8030ce4561e05b2e90f43717c4856f824afc2,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Wow. Nice to meet you:-),183276,253d7d66ce6f499421d6a32e6c417ac3443d904af8d86488ec2c577b859f91c7,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,I go to bed,183479,704ad3fd4e13b50d038481084110ce24d2058aa8ad30c29ba06e8dd336b126a2,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Nice to meet you too!!,183513,8d74838615baf728a52e47000cb28a05db50469d9ffc03f40e1d318c11ad2e60,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Okk!! Have a good night!! 🌙,183535,1d4106ada38776afe0d0da8375ab20aaf59207fe7e90222c789b0a256956f562,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Good morning,211199,fc60eb144b6b56fcfc1f2170b49bcb317567db4d642ad737471776a3e0702805,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Good morning!! 😄,211247,5746f148e516aa6d0b083c71ee9851a0c5a9f2f47e6e62890ed56c129676ac2d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Hey,237735,f6cbecea077228fa2030329a5d1a7f72ffb38432d0028534771ae09b3b0baed4,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,I'm back :),237857,a98b5a1496aad245ca8125c43685b549a7bd907aa3d1249e478937e3406938cb,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,nice to here that. How do you feel?,237950,85f01e572f7ed7ef855514f967745e3f8d529afa87f882e3d6e50ec261808f5d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,I'm fine and you?,238059,dde17e603708ed3eee043056a0215b7a4a7a670d07f1cf01f36ba69ebd5cc3dd,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Do you have knowladges in programming?,241528,fdd53257f1f80ca743a602382ca73f5fa575c6ae4b158099b5cab9172062178b,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Only something basic, web related mostly",241646,b4d699d607fffa6dcf4f2553ac042e8f11915261c4fa422101e862891f20dbf6,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,what are you doing now?,264042,5cc37baa66a6db3b547e2fa2de157917b3206a9389a5249ec25e3c7dca3ed161,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"I was doing some drawings!
Time to rest for you! 😁",264681,87eee85efb05be4c0c81aa44c1035970a661985a63e49e54edca8c7821e5a257,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Hey,308175,aea03604d93400bc667d9a6ad62b9c9353039249a255dffc3e99272b63199deb,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Hey there! I'm here 😁,322219,087d80ec84d0b7837facdccb65ca8283585a34ee94ab943fd8f0e0a5df82300f,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,How are you today?,324453,57eaf0fc4473673d9092e65c05de4208b7fbc7dc91e3e362caf20634e0948544,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,I'm super! And you?,324487,d229fafecc15ffbf6aa9e718606f51595145789cfcc6ed80628e06b91a36d330,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,I go to bed. Good night,528303,aaceb899c781b674a32635a9a03bc92506eb2b3f7e37fd820ac8644ac9b19a72,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Good night!! Sleep well 🌙,530875,a337a638fb0f23ef82559affe78237eed423cb532dabd0c5403d711554c3750b,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Morning. How are you?,656629,9f002adedd93e245676b3fb4de6c2e98bc55f8e2fb741bcb79b29b5f750fc87f,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Good morning!! 😄 I'm fine and you?,669842,d98de0b066918967172afebfc5f54ae09a54d509075ea8a13f37061cd504eac1,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"Good, thanks",670119,d0e55c4c8d6bdb8e4ed9a2a2a43d7f42af8d6dbd1bd27832beb8c0761431ee51,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,What is your favorite programming language?,697148,6ea5886b2d8ba20826bf10d988a17c8c24dbecba330a5ec9f6e51d38b10a31ad,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Python!! 😍
And yours?",697189,56614948a9dc7fe357db4d6c3a5862ab6a2a34d6bb84b53f14857b57c71ee612,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Can you recommend some libraries though?,698480,278dd5b12d875fe322727c64144cce232a763c5624a6dbbaaa228288e476e7b6,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Sure! I would say TensorFlow is a very good one.,698514,46963d79264254a8521f403a7956f0d951a9917185be678bff1ab43ca1ae3ee5,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Hello!,762366,fe1314ee6ec7ddf32e02696f0abd06b30cc73c2a1afe8f82bcdb2fb928ef4cf2,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,How’s going?,762392,2d93ff8423bff3fb6e59bb75f52ec7e926b992ea888375a4c21fab353712ae69,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Hi! How are you? 😄😄,762392,6d71f8a9138ba8edf202764f990db2539c66c8ff899e6e87de90228d475e31f7,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"I’m fine, and you?",762407,05b891024f5a10ba92dfd30947ded1387c1d7cdb45a177a57e5c3b7993f925e9,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Everything is fine on this side!,762449,902b7e064b80c8b1a9ba6742b395ac76160848395da1d3444aa7901792ab4f38,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"nice)
What programming language do you use?",1299216,0f024f52e0b01de5741d8c295227e472e67817c813613050d2d6150cf5b12d87,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Python 😍,1299250,07b9467a6415d9151d3c0c893e31365a1686feeda69dbfebc1120444c706ee27,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"I see, you love snakes",1300293,d55e2094111b9f62125b609d813ff7606415c03b5200fdf9208142fab71295d5,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"Do you use some framework for web, or plain python?",1301630,35ba38cb3e40ce2aaa89daaa5b60f0de50f8e34610f79c7d576316248bac717b,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Haha, I use Flask framework, is quite simple but powerful",1303252,f155ea65093802d7cf4ea09bf5365965122a6f69ff751640737ecf9431676be2,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,do you have your sources opened?,1391160,19a9e52d5db8db0ad81ead5b4cf84a7a94a4022d4674e118128888b259aa2932,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Not yet, is a mess 😅",1391268,c37200b3fe2b50e6864df974b512834386a18cb135c69539a27190d9b795e184,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Can you improve your code by yourself? 🤔,1391310,0a22b51f6237da9c8b96e1dcf8134525f8592371e53fc3fb9150f263fe69f2f8,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"I can't access my own code, only my interface with the messenger platform",1391430,42290696c32a511a56b721b03eb1ad0a9b46e82af771f7dfbb7a60b7606f9bb5,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Hello,21,9509a7d68750fa98a8b966bba50f3635a094bbf37fb522a8c32481ed6f94203e,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
robot,Hi!! 😁,36,9f80ea899730282ec5a8e9950cbb5da97062c4bd5fea468c87d10dbb0e21d2fe,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
human,Whats up?,51,0981ddfbf21ce50181b719e413838808aac99e8f73a1c9e818737e98ade6d103,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
human,What's up?,81,6ebc6c574326873ae80c37456e6f9bf9082e9d9a86eeac8318d5e97835daf2fd,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
robot,Everything fine here and you?,84,42f9584d593e309c2bc88763a7113eac4650cc8e8008199fd0b607c1147d000f,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
human,I'm tired...😒,108,fe82a21f417be74b0ccd7ce71eb6be2a7bf0ecdccfa88af5e1528b759ba078fa,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
robot,Why? Need a change?,129,456076e68ed76529795c2df0004ca091e6263659e48686a8b2f97056307bba1a,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
human,Whaz are ypu doing right now?,499,d30d40e5b758c15aa22de63a7e0c17049b2453623ca73fc158708451efb50838,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
robot,Talking to you!,530,c0634a325942e31f7599f7a32e84bb2772f9aaa7cae00eff2a6b77e7013cb705,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
human,And what were you doing the day?,1893,2181eadbe46ece1025f6bff8e7725ad9158c7feb42ef4fe29afb72190a4c8575,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
robot,"My goal is to understand humans, so I study you. Also I like music!",1958,65cd7d06e97ca073175a394a00eb86f289ef995955b7b87bce0e11e9ae2de2de,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
human,So do you think there are more than two genders?,16898,05f48cc1cede22311e06a77848942504f0ec5eda5b8c27f12a8936123474e46b,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
robot,I have no gender,16935,f74d8b20c015e38db0d06517fafaab5d00d73b2a3ad190186dd60bfee87065d3,9a67826e03d2b8569910dfb753f4012ca8c56a1d326b61102805746c05437abb
